task,instructions,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.0039000000106170774,0.007559499936178327,0.007559499936178327,0.5788903000066057,space,0.5652712000301108,None,,,,,,,,,,,,,,,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
identity,test 1,0,0,0,other,green,space,2.505880100070499,None,j,1.4204235000070184,None,0,0,0,0,0,0,0,2,3.1139796000206843,,,,,,,,,0.5934985999483615,0.5970890999305993,0.5970890999305993,3.104050899972208,space,2.505880100070499,None,3.109786899993196,3.1139796000206843,3.1139796000206843,4.539239599951543,j,1.4204235000070184,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
identity,test 1,1,1,0,friend,blue,space,2.505880100070499,None,k,0.34725380002055317,None,0,0,0,0,0,1,1,1,4.545622700010426,,,,,,,,,,,,,,,,4.5419759999495,4.545622700010426,4.545622700010426,4.897058099973947,k,0.34725380002055317,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
identity,test 1,2,2,0,self,red,space,2.505880100070499,None,l,0.2605528999119997,None,0,0,0,0,0,2,2,0,4.905490899924189,,,,,,,,,,,,,,,,4.901784799993038,4.905490899924189,4.905490899924189,5.169486599974334,l,0.2605528999119997,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
identity,test 1,0,0,0,,,space,2.505880100070499,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
color,test 2,0,0,0,self,red,space,1.0394204000476748,None,j,0.3578659000340849,None,0,1,1,1,0,0,0,0,6.230601700022817,,,,,,,,,5.175587599980645,5.179306300007738,5.179306300007738,6.2236603000201285,space,1.0394204000476748,None,6.227143500000238,6.230601700022817,6.230601700022817,6.593585000024177,j,0.3578659000340849,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
color,test 2,1,1,0,other,green,space,1.0394204000476748,None,k,0.23632269992958754,None,0,1,1,1,0,1,1,2,6.599805100006051,,,,,,,,,,,,,,,,6.5950684999115765,6.599805100006051,6.599805100006051,6.842086800024845,k,0.23632269992958754,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
color,test 2,2,2,0,friend,blue,space,1.0394204000476748,None,l,0.23673859995324165,None,0,1,1,1,0,2,2,1,6.848423799965531,,,,,,,,,,,,,,,,6.844437299994752,6.848423799965531,6.848423799965531,7.090240599936806,l,0.23673859995324165,None,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
color,test 2,1,1,0,,,space,1.0394204000476748,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.091260900022462,7.095454599941149,7.095454599941149,8.04761879995931,space,0.9463355999905616,None,060885,001,2025-08-05_18h32.48.425,Self,2024.2.4,165.56017293780258,2025-08-05 18h32.53.213282 +0100,
