thisN,thisTrialN,thisRepN,task,word,color,font,correctresponse,font_variable,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,response.keys,response.corr,response.rt,response.duration,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,condition,increment_condition.started,increment_condition.stopped,instructions.started,text_instructions.started,key_resp_instructions.started,instructions.stopped,conditions.key_resp_instructions.keys,conditions.key_resp_instructions.rt,conditions.key_resp_instructions.duration,correctkey,indicate_correct_key.started,indicate_correct_key.stopped,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,response.started,stimulus.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_assign.started,feedback_assign.stopped,feedback_put.started,put_feedback_2.started,feedback_put.stopped,blank.started,blank_screen.started,blank.stopped,blank_screen.stopped,participant,blocks,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
0,0,0,color,other,green,Verdana,greenother,$font_main2,space,1.793871400000171,None,j,0,1.4467344000004232,None,0,0,0,0,0,0,0,5,1.8932886000002327,,trials_practice.xlsx,0.013470000000779692,0.013809500000206754,0.03127070000027743,0.04621140000017476,0.04621140000017476,1.8541850999999951,space,1.793871400000171,None,l,1.868501500000093,1.8690419000004113,0.5064101482836987,1.8788828000006106,1.8932886000002327,2.4261192000003575,2.4261192000003575,2.4261192000003575,3.8785992000002807,j,0,1.4467344000004232,None,3.8787661000005755,3.8793780000005427,3.888246400000753,3.9073596000007456,4.892259000000195,4.892339600000014,4.9098907000006875,5.890921600000183,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
1,1,0,color,friend,blue,Tahoma ,bluefriend,$font_main3,space,1.793871400000171,None,j,0,0.14499100000011822,None,0,0,0,0,0,1,1,7,5.9216507000001,,,,,,,,,,,,k,5.891321600000083,5.892195700000229,0.40160239602262726,5.908977400000367,5.9216507000001,6.337762900000598,6.337762900000598,6.337762900000598,6.4911763000000064,j,0,0.14499100000011822,None,6.491337500000554,6.49189700000079,6.491978900000504,6.506160300000374,7.505734500000472,7.5058060999999725,7.522157800000059,8.504360900000393,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
2,2,0,color,self,red,Verdana,redself,$font_main2,space,1.793871400000171,None,j,1,0.0014209000000846572,None,0,0,0,0,0,2,2,3,8.534849600000598,,,,,,,,,,,,j,8.504931800000122,8.506154000000606,0.4496335911998756,8.521679500000573,8.534849600000598,9.001197800000227,9.001197800000227,9.001197800000227,9.021498600000086,j,1,0.0014209000000846572,None,9.021669400000064,9.022362100000464,9.032770700000583,9.050554400000692,10.035274100000606,10.035341800000424,10.051632500000778,11.034157699999923,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
3,3,0,color,self,red,Tahoma ,redself,$font_main3,space,1.793871400000171,None,j,1,0.14711330000045564,None,0,0,0,0,0,3,3,6,11.050287300000491,,,,,,,,,,,,j,11.034567100000459,11.035915000000386,0.46977822371519407,11.037705800000367,11.050287300000491,11.54749450000054,11.54749450000054,11.54749450000054,11.70146670000031,j,1,0.14711330000045564,None,11.70163390000016,11.702315600000475,11.702403000000231,11.716704200000095,12.714745900000707,12.714796700000079,12.731117600000289,13.715796400000727,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
4,4,0,color,friend,blue,Arial,bluefriend,$font_main1,space,1.793871400000171,None,j,0,0.13724770000044373,None,0,0,0,0,0,4,4,1,13.744798700000501,,,,,,,,,,,,k,13.716197900000225,13.717272000000776,0.7497774877652548,13.731536700000106,13.744798700000501,14.527392700000746,14.527392700000746,14.527392700000746,14.68116000000009,j,0,0.13724770000044373,None,14.681379200000265,14.682178800000656,14.695295500000611,14.710271100000682,15.695029200000135,15.69511600000078,15.711683500000618,16.700450000000274,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
5,5,0,color,other,green,Arial,greenother,$font_main1,space,1.793871400000171,None,j,0,0.009959500000150001,None,0,0,0,0,0,5,5,2,16.72335060000023,,,,,,,,,,,,l,16.70061540000006,16.70126640000035,0.9401215087511698,16.709335500000634,16.72335060000023,17.674642200000562,17.674642200000562,17.674642200000562,17.692415900000015,j,0,0.009959500000150001,None,17.692541899999924,17.692979500000547,17.69304590000047,17.707930900000065,18.70777200000066,18.707844300000033,18.723994500000117,19.70619590000024,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
6,6,0,color,self,red,Arial,redself,$font_main1,space,1.793871400000171,None,j,1,0.05302730000039446,None,0,0,0,0,0,6,6,0,19.73697870000069,,,,,,,,,,,,j,19.70663240000067,19.707721600000696,0.6873771741058428,19.71916130000045,19.73697870000069,20.438330599999972,20.438330599999972,20.438330599999972,20.50583580000057,j,1,0.05302730000039446,None,20.50598870000067,20.50654410000061,20.51325690000067,20.520785600000636,21.519896400000107,21.519951400000537,21.536380000000463,22.51849080000011,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
7,7,0,color,friend,blue,Verdana,bluefriend,$font_main2,space,1.793871400000171,None,j,0,0.14404999999987922,None,0,0,0,0,0,7,7,4,22.534934500000418,,,,,,,,,,,,k,22.51880390000042,22.519809400000668,0.47298010869994034,22.526971300000696,22.534934500000418,23.03257340000073,23.03257340000073,23.03257340000073,23.18735360000028,j,0,0.14404999999987922,None,23.187578900000517,23.1883514000001,23.19454130000031,23.215517399999953,24.199727500000336,24.19978810000066,24.21616610000001,25.198370400000385,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
8,8,0,color,other,green,Tahoma ,greenother,$font_main3,space,1.793871400000171,None,j,0,0.1997942999996667,None,0,0,0,0,0,8,8,8,25.229717000000164,,,,,,,,,,,,l,25.198688800000127,25.199628600000324,0.5975681366529384,25.20956540000043,25.229717000000164,25.83061330000055,25.83061330000055,25.83061330000055,26.03235120000045,j,0,0.1997942999996667,None,26.032502200000636,26.033053300000574,26.033131300000605,26.047346700000162,27.046136500000102,27.046192600000722,27.062474600000314,28.04548100000011,,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
0,0,0,color,other,green,Arial,greenother,$font_main1,space,2.3090787000001,None,j,0,0.3316555999999764,None,1,0,1,0,0,0,0,2,30.40581680000014,,trials_color.xlsx,28.050222500000018,28.051279700000123,28.051410100000794,28.062251400000605,28.062251400000605,30.376650700000027,space,2.3090787000001,None,l,30.389034100000572,30.389676200000395,0.9654054035395667,30.3907777000004,30.40581680000014,31.388102300000355,31.388102300000355,31.388102300000355,31.724654000000555,j,0,0.3316555999999764,None,31.724808200000552,31.725355400000808,31.725434800000585,31.739443000000392,31.72611010000037,31.72616460000063,31.739443000000392,32.72301460000017,32.752885400000196,100146,colour then identity,1,2025-11-18_12h27.56.146,alej_colour_self_friend_other,,2025.1.1,60.08077259075942,2025-11-18 12h28.06.215642 +0000,
1,1,0,color,self,red,Verdana,redself,$font_main2,,,,,,,,,,,,0,1,1,3,32.752885400000196,,,,,,,,,,,,j,32.72341020000022,32.72400920000018,0.6116291572269723,32.7357748000004,32.752885400000196,33.38563630000044,33.38563630000044,33.38563630000044,,,,,,,,,,,,,,,,,,,,,,,,
