task,ins,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,fix.started,stimuli.started,key_resp.started,fix.stopped,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.007583600003272295,0.01203939993865788,0.01203939993865788,0.4595137999858707,space,0.44128890009596944,None,,,,,,,,,,,,,,,,,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,friend,blue,space,0.9212817999068648,None,j,0.3412977000698447,None,0,0,0,0,0,0,0,1,1.4119572998024523,,,,,,,,,0.47494410001672804,0.47822949988767505,0.47822949988767505,1.4012186999898404,space,0.9212817999068648,None,1.4060776999685913,1.4119572998024523,1.890711799962446,1.890711799962446,1.9025624999776483,2.2375520998612046,j,0.3412977000698447,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,self,red,space,0.9212817999068648,None,k,0.5240726999472827,None,0,0,0,0,0,1,1,0,2.2419794998131692,,,,,,,,,,,,,,,,2.2387974997982383,2.2419794998131692,2.7267270998563617,2.7267270998563617,2.732817499898374,3.255640299990773,k,0.5240726999472827,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,other,green,space,0.9212817999068648,None,j,0.5574320000596344,None,0,0,0,0,0,2,2,2,3.2597838998772204,,,,,,,,,,,,,,,,3.2567573999986053,3.2597838998772204,3.744485499802977,3.744485499802977,3.750722099794075,4.303725800011307,j,0.5574320000596344,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,,,space,0.9212817999068648,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,self,red,space,0.691148400073871,None,j,0.06020619999617338,None,0,1,1,1,0,0,0,0,5.017112099798396,,,,,,,,,4.308827099855989,4.313874099869281,4.313874099869281,5.006623299792409,space,0.691148400073871,None,5.01071389997378,5.017112099798396,5.495519099989906,5.495519099989906,5.508045099908486,5.557955999858677,j,0.06020619999617338,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,other,green,space,0.691148400073871,None,k,0.48424579994753003,None,0,1,1,1,0,1,1,2,5.562580599915236,,,,,,,,,,,,,,,,5.559192099841312,5.562580599915236,6.04687949991785,6.04687949991785,6.0528661999851465,6.533876499859616,k,0.48424579994753003,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,friend,blue,space,0.691148400073871,None,l,0.30156859988346696,None,0,1,1,1,0,2,2,1,6.543519099941477,,,,,,,,,,,,,,,,6.535189299844205,6.543519099941477,7.022171099903062,7.022171099903062,7.034472799859941,7.327068399870768,l,0.30156859988346696,None,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,,,space,0.691148400073871,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189316,001,2025-08-05_19h40.05.415,Self,2024.2.4,165.73468511096166,2025-08-05 19h40.10.682724 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3276835000142455,7.331598799908534,7.331598799908534,17.32304159994237,,,,,,,,
