task,ins,thisN,thisTrialN,thisRepN,word,color,ters,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.004765900084748864,0.010118599981069565,0.010118599981069565,0.5538280999753624,space,0.5361122000031173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,self,red,Arial,space,3.1343083998654038,None,j,0.38701470009982586,None,0,0,0,0,0,0,0,0,3.7240016001742333,,,,,,,,,0.5642889000009745,0.5731178000569344,0.5731178000569344,3.713796600000933,space,3.1343083998654038,None,0.46872418939253085,3.7180858000647277,3.7240016001742333,4.184653700096533,4.184653700096533,4.184653700096533,4.573989700060338,j,0.38701470009982586,None,4.574029700132087,4.578459300100803,5.572335300035775,5.567510700086132,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,friend,blue,Verdana,space,3.1343083998654038,None,k,0.3221708000637591,None,0,0,0,0,0,1,1,1,5.572335300035775,,,,,,,,,,,,,,,,0.8704376015299615,5.569000400137156,5.572335300035775,6.4381675000768155,6.4381675000768155,6.4381675000768155,6.762036400148645,k,0.3221708000637591,None,6.76208860008046,6.766106900060549,7.765169900143519,7.7545565001200885,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,other,green,Tahoma ,space,3.1343083998654038,None,j,0.43458390003070235,None,0,0,0,0,0,2,2,2,7.765169900143519,,,,,,,,,,,,,,,,0.5983986706167295,7.757858900120482,7.765169900143519,8.359322700183839,8.359322700183839,8.359322700183839,8.797115300083533,j,0.43458390003070235,None,8.797155400039628,8.801388000138104,9.81296470016241,9.790642000036314,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,,,,space,3.1343083998654038,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,other,green,Tahoma ,space,2.0586123999673873,None,j,0.4093053999822587,None,0,1,1,1,0,0,0,2,11.885598700027913,,,,,,,,,9.80499940016307,9.81296470016241,9.81296470016241,11.875258899992332,space,2.0586123999673873,None,0.3738691749454692,11.879188999999315,11.885598700027913,12.249560000142083,12.249560000142083,12.249560000142083,12.664024000056088,j,0.4093053999822587,None,12.66407490009442,12.667575899977237,13.66701059998013,13.656375500140712,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,friend,blue,Verdana,space,2.0586123999673873,None,k,0.3259791999589652,None,0,1,1,1,0,1,1,1,13.66701059998013,,,,,,,,,,,,,,,,0.8077080818213989,13.658778300043195,13.66701059998013,14.47271620016545,14.47271620016545,14.47271620016545,14.801847100025043,k,0.3259791999589652,None,14.801885900087655,14.806155200116336,15.805722299963236,15.795292700175196,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,self,red,Arial,space,2.0586123999673873,None,l,0.23938689986243844,None,0,1,1,1,0,2,2,0,15.805722299963236,,,,,,,,,,,,,,,,0.5049152133366571,15.799339100020006,15.805722299963236,16.303228300064802,16.303228300064802,16.303228300064802,16.547252400079742,l,0.23938689986243844,None,16.547292000148445,16.551345800049603,17.545104700140655,17.540179800009355,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,,,,space,2.0586123999673873,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.540944000007585,17.545104700140655,17.545104700140655,18.04369210009463,space,0.4940327999647707,None,274185,001,2025-08-05_20h19.16.018,Self,2024.2.4,166.7088997542603,2025-08-05 20h19.19.816607 +0100,
