task,ins,trial_list,thisN,thisTrialN,thisRepN,word,color,font,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.00895920000039041,0.013547699898481369,0.013547699898481369,1.6152335999067873,space,1.5919549998361617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,0,0,0,other,green,Tahoma ,space,4.61166590009816,None,j,0.31335469987243414,None,0,0,0,0,0,0,0,2,6.260802200064063,,,,,,,,,1.627791800070554,1.637208899948746,1.637208899948746,6.250885599991307,space,4.61166590009816,None,0.46773459059658806,6.256690599955618,6.260802200064063,6.72701820009388,6.72701820009388,6.72701820009388,7.044080500025302,j,0.31335469987243414,None,7.044119500089437,7.048566899960861,8.047742299968377,8.037773600080982,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,1,1,0,friend,blue,Verdana,space,4.61166590009816,None,k,0.15335860010236502,None,0,0,0,0,0,1,1,1,8.047742299968377,,,,,,,,,,,,,,,,0.3288439573041405,8.041592099936679,8.047742299968377,8.375256400089711,8.375256400089711,8.375256400089711,8.53447930002585,k,0.15335860010236502,None,8.534518300089985,8.538927899906412,9.538827700074762,9.527763300109655,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,2,2,0,self,red,Arial,space,4.61166590009816,None,k,0.2880406999029219,None,0,0,0,0,0,2,2,0,9.538827700074762,,,,,,,,,,,,,,,,0.7017354691063413,9.531083300011232,9.538827700074762,10.235285100061446,10.235285100061446,10.235285100061446,10.52791570010595,k,0.2880406999029219,None,10.527956699952483,10.532348799984902,11.537894299952313,11.521090500056744,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,0,0,0,,,,space,4.61166590009816,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,0,0,0,friend,blue,Verdana,space,3.0709333000704646,None,j,0.40005629998631775,None,0,1,1,1,0,0,0,1,14.6282337999437,,,,,,,,,11.533504399936646,11.537894299952313,11.537894299952313,14.612271199934185,space,3.0709333000704646,None,0.3244365878796059,14.619746200041845,14.6282337999437,14.9435864998959,14.9435864998959,14.9435864998959,15.344889200059697,j,0.40005629998631775,None,15.344928599894047,15.349471800029278,16.343449200037867,16.33826080011204,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,1,1,0,self,red,Arial,space,3.0709333000704646,None,k,0.22430230001918972,None,0,1,1,1,0,1,1,0,16.343449200037867,,,,,,,,,,,,,,,,0.5961395804003314,16.339382000034675,16.343449200037867,16.931086600059643,16.931086600059643,16.931086600059643,17.15651290002279,k,0.22430230001918972,None,17.15655199997127,17.161431099986658,18.15488970000297,18.14989889995195,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,2,2,0,other,green,Tahoma ,space,3.0709333000704646,None,k,0.22762589994817972,None,0,1,1,1,0,2,2,2,18.15488970000297,,,,,,,,,,,,,,,,0.42282880629066844,18.151540599996224,18.15488970000297,18.572751899948344,18.572751899948344,18.572751899948344,18.805060100043193,k,0.22762589994817972,None,18.80509930010885,18.809343700064346,19.803012799937278,19.798165200045332,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,1,1,0,,,,space,3.0709333000704646,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.798900000052527,19.803012799937278,19.803012799937278,20.84692950011231,space,1.039458299987018,None,397867,001,2025-08-07_19h13.14.858,Self,2024.2.4,164.5770867950107,2025-08-07 19h13.20.153780 +0100,
