task,ins,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,fix.started,stimuli.started,key_resp.started,fix.stopped,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.007977700093761086,0.012828900013118982,0.012828900013118982,1.8703741000499576,space,1.8495784001424909,None,,,,,,,,,,,,,,,,,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,other,green,space,1.0148422999773175,None,j,1.8108867001719773,None,0,0,0,0,0,0,0,2,2.9150708001106977,,,,,,,,,1.8813372999429703,1.88484050007537,1.88484050007537,2.9047908999491483,space,1.0148422999773175,None,2.909183599986136,2.9150708001106977,3.3940125999506563,3.3940125999506563,3.4061736001167446,5.207084900001064,j,1.8108867001719773,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,friend,blue,space,1.0148422999773175,None,j,0.48482410004362464,None,0,0,0,0,0,1,1,1,5.217416000086814,,,,,,,,,,,,,,,,5.2084353000391275,5.217416000086814,5.696307700127363,5.696307700127363,5.707966600079089,6.182377600111067,j,0.48482410004362464,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,self,red,space,1.0148422999773175,None,j,0.325971300015226,None,0,0,0,0,0,2,2,0,6.1868664000649005,,,,,,,,,,,,,,,,6.1836262999568135,6.1868664000649005,6.672135100001469,6.672135100001469,6.677727499976754,7.000870400108397,j,0.325971300015226,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,,,space,1.0148422999773175,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,friend,blue,space,1.1707061999477446,None,j,0.1343811999540776,None,0,1,1,1,0,0,0,1,8.19856010004878,,,,,,,,,7.005895199952647,7.011161800008267,7.011161800008267,8.18773530004546,space,1.1707061999477446,None,8.191927900072187,8.19856010004878,8.677857000147924,8.677857000147924,8.68961749994196,8.818809800082818,j,0.1343811999540776,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,other,green,space,1.1707061999477446,None,k,0.22609169990755618,None,0,1,1,1,0,1,1,2,8.828902800101787,,,,,,,,,,,,,,,,8.820079900091514,8.828902800101787,9.3075053000357,9.3075053000357,9.31963809998706,9.53939489996992,k,0.22609169990755618,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,self,red,space,1.1707061999477446,None,l,0.08475610008463264,None,0,1,1,1,0,2,2,0,9.544234900036827,,,,,,,,,,,,,,,,9.540646200068295,9.544234900036827,10.028526900103316,10.028526900103316,10.034513700054958,10.114800800103694,l,0.08475610008463264,None,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,,,space,1.1707061999477446,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.115470699965954,10.119535600068048,10.119535600068048,11.211577899986878,space,1.089907699963078,None,462285,001,2025-08-05_19h39.35.770,Self,2024.2.4,164.83235751898619,2025-08-05 19h39.40.271310 +0100,
