task,ins,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,polygon.started,text_instructions.started,key_resp_instrucctions.started,polygon.stopped,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.005542900180444121,0.009922099998220801,0.009922099998220801,1.3711115000769496,space,1.3584703002125025,None,,,,,,,,,,,,,,,,,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,friend,blue,space,1.422705499920994,None,j,0.6120649001095444,None,0,0,0,1,0,0,0,1,3.2999419001862407,,,,,,,,,1.3814599001780152,1.3854324000421911,1.8642873000353575,1.8642873000353575,1.8766474002040923,3.290157300187275,space,1.422705499920994,None,3.2956574000418186,3.2999419001862407,3.2999419001862407,3.9139946000650525,j,0.6120649001095444,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,self,red,space,1.422705499920994,None,k,0.7158039999194443,None,0,0,0,1,0,1,1,0,3.9181681000627577,,,,,,,,,,,,,,,,,,3.915282100206241,3.9181681000627577,3.9181681000627577,4.634927100036293,k,0.7158039999194443,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,other,green,space,1.422705499920994,None,j,0.6639076999854296,None,0,0,0,1,0,2,2,2,4.639591000042856,,,,,,,,,,,,,,,,,,4.636269200127572,4.639591000042856,4.639591000042856,5.307301900116727,j,0.6639076999854296,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,,,space,1.422705499920994,None,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,other,green,space,0.9146557999774814,None,j,0.6565929998178035,None,0,1,1,0,0,0,0,2,6.72361270012334,,,,,,,,,5.313244900200516,5.318032100098208,5.796312200138345,5.796312200138345,5.8085735000204295,6.7136254999786615,space,0.9146557999774814,None,6.716630900045857,6.72361270012334,6.72361270012334,7.385759000200778,j,0.6565929998178035,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,self,red,space,0.9146557999774814,None,k,0.5449040001258254,None,0,1,1,0,0,1,1,0,7.390398000134155,,,,,,,,,,,,,,,,,,7.3871063000988215,7.390398000134155,7.390398000134155,7.937705100048333,k,0.5449040001258254,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,friend,blue,space,0.9146557999774814,None,l,0.5279399999417365,None,0,1,1,0,0,2,2,1,7.947672200156376,,,,,,,,,,,,,,,,,,7.938956100028008,7.947672200156376,7.947672200156376,8.476870300015435,l,0.5279399999417365,None,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,,,space,0.9146557999774814,None,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.477471400052309,8.480850500054657,8.480850500054657,15.2751542001497,space,6.793249499984086,None,589429,001,2025-08-05_19h36.14.919,Self,2024.2.4,165.40380876536875,2025-08-05 19h36.19.101801 +0100,
