task,instructions,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimuli.stopped,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.003312499960884452,0.011402799980714917,0.011402799980714917,0.6921424999600276,space,0.6756072000134736,None,,,,,,,,,,,,,,,,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,friend,blue,space,1.6111525000305846,None,j,2.1294993999181315,None,0,0,0,1,0,0,0,1,2.34019909997005,,,,,,,,,0.71045279991813,0.7146835998864844,0.7146835998864844,2.3321570999687538,space,1.6111525000305846,None,2.3372301999479532,2.34019909997005,2.34019909997005,4.331091200001538,4.4711059998953715,j,2.1294993999181315,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",1,1,0,other,green,space,1.6111525000305846,None,k,0.7804365999763831,None,0,0,0,1,0,1,1,2,4.477663099998608,,,,,,,,,,,,,,,,4.472737399977632,4.477663099998608,4.477663099998608,,5.259159899898805,k,0.7804365999763831,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",2,2,0,self,red,space,1.6111525000305846,None,l,0.6129473999608308,None,0,0,0,1,0,2,2,0,5.266069199889898,,,,,,,,,,,,,,,,5.262938899919391,5.266069199889898,5.266069199889898,,5.882720199995674,l,0.6129473999608308,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,,,space,1.6111525000305846,None,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",0,0,0,friend,blue,space,3.935956300003454,None,j,0.7570120000746101,None,0,1,1,0,0,0,0,1,9.842133399914019,,,,,,,,,5.887714499956928,5.8911856999620795,5.8911856999620795,9.83306749991607,space,3.935956300003454,None,9.838787899934687,9.842133399914019,9.842133399914019,,10.602813599980436,j,0.7570120000746101,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,other,green,space,3.935956300003454,None,k,0.5532559000421315,None,0,1,1,0,0,1,1,2,10.60891999991145,,,,,,,,,,,,,,,,10.604447599966079,10.60891999991145,10.60891999991145,,11.166469799936749,k,0.5532559000421315,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",2,2,0,self,red,space,3.935956300003454,None,l,0.33738819998688996,None,0,1,1,0,0,2,2,0,11.172446599928662,,,,,,,,,,,,,,,,11.168202999979258,11.172446599928662,11.172446599928662,,11.513371199951507,l,0.33738819998688996,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",1,1,0,,,space,3.935956300003454,None,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",0,0,0,other,green,space,74.80920339992736,None,j,4.079059900017455,None,1,0,2,1,0,0,0,2,86.34373879991472,,,,,,,,,11.520713399979286,11.524185299989767,11.524185299989767,86.3357775999466,space,74.80920339992736,None,86.3408242999576,86.34373879991472,86.34373879991472,88.3348225998925,90.42581819999032,j,4.079059900017455,None,,,,,,,,659698,001,2025-08-05_18h16.20.548,Self,2024.2.4,175.9683538397127,2025-08-05 18h16.24.532182 +0100,
