task,ins,thisN,thisTrialN,thisRepN,word,color,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,stimulus.started,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.008684000000357628,0.013584299944341183,0.013584299944341183,1.6168800999876112,space,1.5968835999956354,None,,,,,,,,,,,,,,,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
identity,test 1,0,0,0,friend,blue,space,4.932314399979077,None,j,1.3725078999996185,None,0,0,0,0,0,0,0,1,6.575294699985534,,,,,,,,,1.6231680000200868,1.631131500005722,1.631131500005722,6.565631299978122,space,4.932314399979077,None,6.571013699984178,6.575294699985534,6.575294699985534,7.952508399961516,j,1.3725078999996185,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
identity,test 1,1,1,0,self,red,space,4.932314399979077,None,k,0.3151116000954062,None,0,0,0,0,0,1,1,0,7.962923299986869,,,,,,,,,,,,,,,,7.954362099990249,7.962923299986869,7.962923299986869,8.279798700008541,k,0.3151116000954062,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
identity,test 1,2,2,0,other,green,space,4.932314399979077,None,l,0.3163028000853956,None,0,0,0,0,0,2,2,2,8.284116699942388,,,,,,,,,,,,,,,,8.281183999963105,8.284116699942388,8.284116699942388,8.60120419994928,l,0.3163028000853956,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
identity,test 1,0,0,0,,,space,4.932314399979077,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
color,test 2,0,0,0,friend,blue,space,1.0834395999554545,None,j,0.3655692000174895,None,0,1,1,1,0,0,0,1,9.708030099980533,,,,,,,,,8.604545600013807,8.611269299988635,8.611269299988635,9.697903599939309,space,1.0834395999554545,None,9.704325899947435,9.708030099980533,9.708030099980533,10.07901360001415,j,0.3655692000174895,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
color,test 2,1,1,0,self,red,space,1.0834395999554545,None,k,0.2698954999214038,None,0,1,1,1,0,1,1,0,10.084074700018391,,,,,,,,,,,,,,,,10.080215799971484,10.084074700018391,10.084074700018391,10.35826319991611,k,0.2698954999214038,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
color,test 2,2,2,0,other,green,space,1.0834395999554545,None,l,0.2534904000349343,None,0,1,1,1,0,2,2,2,10.362602600012906,,,,,,,,,,,,,,,,10.359496299992315,10.362602600012906,10.362602600012906,10.618602699949406,l,0.2534904000349343,None,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
color,test 2,1,1,0,,,space,1.0834395999554545,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.619204199989326,10.623216099920683,10.623216099920683,14.915286000003107,space,4.287406099960208,None,930860,001,2025-08-05_18h35.37.979,Self,2024.2.4,163.0169878943403,2025-08-05 18h35.42.673022 +0100,
