task,ins,trial_list,thisN,thisTrialN,thisRepN,word,color,font,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,goodbye.started,goodbye_text.started,goodbye_response.started,goodbye.stopped,goodbye_response.keys,goodbye_response.rt,goodbye_response.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0059092044830322266,0.010291337966918945,0.010291337966918945,1.6259713172912598,space,1.5948131084442139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,0,0,0,friend,blue,Verdana,space,2.442042112350464,None,j,1.2932260036468506,None,0,0,0,0,0,0,0,1,4.144627332687378,,,,,,,,,1.6624960899353027,1.6672797203063965,1.6672797203063965,4.125974655151367,space,2.442042112350464,None,0.5434208910000535,4.140265464782715,4.144627332687378,4.704302072525024,4.704302072525024,4.704302072525024,6.008922338485718,j,1.2932260036468506,None,6.009040832519531,6.017593860626221,7.019895076751709,7.008218050003052,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,1,1,0,self,red,Arial,space,2.442042112350464,None,k,0.5517551898956299,None,0,0,0,0,0,1,1,0,7.019895076751709,,,,,,,,,,,,,,,,0.47231584878014776,7.014699220657349,7.019895076751709,7.500938177108765,7.500938177108765,7.500938177108765,8.056476354598999,k,0.5517551898956299,None,8.056559324264526,8.067748785018921,9.06810975074768,9.05623984336853,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,2,2,0,other,green,Tahoma ,space,2.442042112350464,None,l,0.4598119258880615,None,0,0,0,0,0,2,2,2,9.06810975074768,,,,,,,,,,,,,,,,0.7347508830725242,9.06389594078064,9.06810975074768,9.808933973312378,9.808933973312378,9.808933973312378,10.275344848632812,l,0.4598119258880615,None,10.275442123413086,10.28557014465332,11.307973146438599,11.275039196014404,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
color,"In the following task, you will need to report the color of the word. 
- If the word is presented in blue, press j
- If the word is presented in red, press k
- If the word is presented in green, press l

press the space key to start",lists/trials_color.xlsx,0,0,0,,,,space,2.442042112350464,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,0,0,0,other,green,Tahoma ,space,2.2166800498962402,None,j,0.36194562911987305,None,0,1,1,1,0,0,0,2,13.54050588607788,,,,,,,,,11.302950382232666,11.307973146438599,11.307973146438599,13.526116609573364,space,2.2166800498962402,None,0.8274341995453831,13.536036729812622,13.54050588607788,14.370721101760864,14.370721101760864,14.370721101760864,14.743727684020996,j,0.36194562911987305,None,14.74382734298706,14.754035472869873,15.754812002182007,15.743622779846191,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,1,1,0,self,red,Arial,space,2.2166800498962402,None,k,0.345043420791626,None,0,1,1,1,0,1,1,0,15.754812002182007,,,,,,,,,,,,,,,,0.9021433489111959,15.748942852020264,15.754812002182007,16.675522089004517,16.675522089004517,16.675522089004517,17.027021169662476,k,0.345043420791626,None,17.02710461616516,17.038285732269287,,18.028157472610474,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,2,2,0,friend,blue,Verdana,space,2.2166800498962402,None,l,0.14443159103393555,None,0,1,1,1,0,2,2,1,18.03941559791565,,,,,,,,,,,,,,,,0.619250807654748,18.032975912094116,18.03941559791565,18.676222562789917,18.676222562789917,18.676222562789917,18.828420877456665,l,0.14443159103393555,None,18.8285129070282,18.83911919593811,19.839439630508423,19.82827591896057,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
identity,"In the following task, you will need to report the identity of the word. 
- If the word is self, press j
- If the word is friend, press k
- If the word is other, press l

press the space key to start",lists/trials_identity.xlsx,1,1,0,,,,space,2.2166800498962402,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.830631256103516,19.839439630508423,19.839439630508423,27.16623854637146,space,7.309306383132935,None,pilot,001,2025-09-29_15h21.01.012,Self,,2025.1.1,60.129856166160835,2025-09-29 15h21.04.233901 +0100,
